# Accelerometer Data File
# Started @Fri Dec 02 13:27:14 CST 2016
#
#
# sensor Vendor: hTC Corp.
# sensor Name: Accelerometer Sensor
# sensor Resolution: 0.01m/sec^2; Max Range: 39.2266; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
-0.04 1.8 10.55 0
0.06 1.17 11.37 9
-0.01 0.989 11.559 10
-0.02 0.979 11.42 10
0.07 0.55 11.4 10
-0.08 0.14 11.58 10
-0.29 -0.07 11.57 10
-0.669 0.0 10.849 10
-1.22 -0.22 10.05 10
-1.62 -0.65 9.94 10
-1.939 -1.15 10.23 10
-1.9 -1.27 10.429 10
-1.459 -0.979 10.15 10
-1.069 -0.299 9.519 10
-1.01 0.48 8.75 10
-0.9 1.02 8.149 10
-0.93 1.23 7.399 10
-0.93 1.37 7.72 10
-1.329 1.76 8.42 10
-1.839 2.22 9.889 10
-2.3 2.59 11.15 10
-2.62 2.83 10.41 10
-3.0 2.98 9.23 10
-3.07 3.05 9.019 10
-2.909 2.74 8.92 10
-2.54 2.6 8.88 10
-1.92 2.73 9.099 10
-1.63 2.679 8.99 10
-1.55 2.6 8.86 10
-1.38 2.55 8.94 10
-1.11 2.46 8.98 10
-0.909 2.54 8.8 10
-0.89 2.649 8.55 10
-0.799 2.77 8.54 10
-0.63 2.95 8.53 10
-0.55 3.07 8.37 10
-0.52 3.129 8.49 10
-0.45 3.169 8.559 10
-0.53 3.33 8.51 10
-0.59 3.399 8.61 10
-0.789 3.399 8.809 10
-0.84 3.389 8.86 10
-0.669 3.29 8.98 10
-0.52 3.169 9.04 10
-0.55 3.05 9.07 10
-0.599 3.07 9.11 10
-0.57 3.199 9.23 10
-0.539 3.35 9.37 10
-0.48 3.37 9.4 10
-0.45 3.33 9.429 10
-0.45 3.33 9.57 10
-0.459 3.37 9.54 10
-0.41 3.419 9.62 10
-0.329 3.36 9.69 10
-0.17 3.31 9.58 10
-0.24 3.24 9.59 10
-0.19 3.34 9.74 10
-0.28 3.439 9.639 10
-0.39 3.57 9.559 10
-0.39 3.689 9.48 10
-0.359 3.78 9.37 10
-0.31 3.77 9.21 10
-0.28 3.76 9.179 10
-0.19 3.76 9.03 10
-0.13 3.77 8.9 10
-0.04 3.81 8.809 9
0.0 3.919 8.74 10
-0.04 3.929 8.69 10
-0.089 4.009 8.69 10
-0.16 4.11 8.65 10
-0.25 4.11 8.76 10
-0.25 4.089 8.769 10
-0.229 4.029 8.8 10
-0.199 3.929 8.88 10
-0.149 3.86 8.94 10
-0.16 3.83 8.9 10
-0.13 3.81 8.91 10
-0.07 3.78 8.929 10
-0.06 3.8 8.96 10
-0.07 3.81 9.01 10
-0.06 3.8 9.13 10
-0.049 3.84 9.32 10
-0.089 3.84 9.22 10
-0.149 3.78 9.16 10
-0.19 3.81 9.269 10
-0.21 3.83 9.21 10
-0.149 3.82 9.11 10
-0.099 3.84 9.09 10
-0.049 3.84 9.16 10
-0.049 3.889 9.15 10
-0.03 3.939 9.13 10
-0.08 3.97 9.13 10
0.0 3.97 9.2 10
-0.049 4.02 9.19 10
-0.03 3.97 9.139 10
0.04 3.949 9.099 10
0.049 3.87 9.059 10
0.049 3.879 9.099 10
0.049 3.919 9.11 10
0.14 3.86 9.12 10
0.13 3.879 9.08 10
0.12 3.899 9.08 10
0.06 3.889 9.099 10
0.0 3.919 9.09 10
-0.01 3.879 9.019 10
0.0 3.87 9.019 10
0.0 3.87 9.05 10
-0.06 3.8 9.04 10
-0.11 3.82 9.03 10
-0.16 3.76 9.08 10
-0.11 3.74 9.139 10
-0.06 3.75 9.099 10
-0.13 3.77 9.08 10
-0.16 3.73 9.099 10
-0.19 3.72 9.16 10
-0.14 3.75 9.19 10
-0.13 3.73 9.33 10
-0.14 3.709 9.309 10
-0.11 3.77 9.41 10
-0.12 3.83 9.33 10
-0.08 3.81 9.37 10
-0.13 3.78 9.38 10
-0.08 3.78 9.33 10
-0.03 3.76 9.29 10
-0.07 3.8 9.21 10
-0.099 3.72 9.16 10
0.0 3.78 9.139 10
-0.03 3.81 9.019 10
-0.01 3.85 8.92 10
-0.01 3.899 8.929 9
-0.03 3.919 8.84 10
-0.07 3.939 8.849 10
0.0 3.879 8.889 10
0.03 3.879 8.95 10
0.049 3.8 8.98 10
0.049 3.85 9.03 10
0.0 3.889 9.03 10
-0.12 3.909 9.03 10
-0.16 3.919 9.019 10
-0.199 3.889 9.04 10
-0.21 3.929 9.03 10
-0.21 3.87 9.05 10
-0.16 3.82 8.99 10
-0.179 3.82 9.01 10
-0.17 3.84 9.03 10
-0.179 3.879 8.97 10
-0.13 3.82 8.889 10
-0.19 3.83 8.92 10
-0.19 3.79 8.91 10
-0.24 3.879 8.92 10
-0.22 3.84 8.95 10
-0.24 3.82 8.99 10
-0.19 3.8 9.04 10
-0.19 3.889 9.01 10
-0.229 3.85 9.059 10
-0.29 3.909 9.059 10
-0.22 3.919 9.059 10
-0.229 3.899 9.11 10
-0.21 3.879 9.11 10
-0.22 3.889 9.08 10
-0.25 3.929 9.22 10
-0.25 3.939 9.25 10
-0.179 3.87 9.29 10
-0.179 3.899 9.26 10
-0.179 3.83 9.309 10
-0.19 3.83 9.309 10
-0.19 3.899 9.29 10
-0.13 3.84 9.2 10
-0.16 3.879 9.179 10
-0.14 3.879 9.11 10
-0.179 3.87 9.08 10
-0.16 3.879 9.08 10
-0.179 3.909 9.01 10
-0.269 3.949 9.04 10
-0.28 3.939 9.04 10
-0.299 3.929 9.04 10
-0.34 3.879 9.01 10
-0.37 3.85 8.98 10
