# Accelerometer Data File
# Started @Fri Dec 02 13:30:54 CST 2016
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: LSM330 3-axis Accelerometer
# sensor Resolution: 0.009576807m/sec^2; Max Range: 78.4532; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
-0.775 3.658 8.868 0
-0.565 3.754 8.81 10
-0.43 3.811 8.743 9
-0.43 3.792 8.724 10
-0.507 3.763 8.724 10
-0.555 3.754 8.801 10
-0.612 3.754 8.935 10
-0.593 3.725 8.983 10
-0.555 3.744 9.04 10
-0.459 3.754 9.078 10
-0.383 3.792 9.04 10
-0.373 3.83 9.05 10
-0.402 3.888 9.069 10
-0.43 3.907 9.088 10
-0.497 3.907 9.165 10
-0.584 3.869 9.26 10
-0.699 3.801 9.27 10
-0.785 3.754 9.222 10
-0.785 3.763 9.174 10
-0.699 3.792 9.059 10
-0.622 3.878 8.944 10
-0.545 3.926 8.868 10
-0.497 3.993 8.848 10
-0.526 4.041 8.906 10
-0.584 4.012 8.973 10
-0.718 3.964 9.059 10
-0.814 3.926 9.165 10
-0.823 3.888 9.193 10
-0.775 3.869 9.203 10
-0.66 3.897 9.193 10
-0.574 3.945 9.193 10
-0.603 3.945 9.184 10
-0.641 3.916 9.222 10
-0.66 3.916 9.27 10
-0.737 3.878 9.327 10
-0.804 3.821 9.318 10
-0.852 3.782 9.203 11
-0.814 3.811 9.05 9
-0.737 3.907 8.896 10
-0.67 3.983 8.753 10
-0.622 4.06 8.667 10
-0.593 4.089 8.619 10
-0.526 4.079 8.619 10
-0.507 4.06 8.599 10
-0.574 4.07 8.628 10
-0.66 4.041 8.609 10
-0.756 4.07 8.657 10
-0.794 4.089 8.714 10
-0.852 4.07 8.762 10
-0.833 4.07 8.801 10
-0.814 4.031 8.848 10
-0.794 4.012 8.906 10
-0.852 3.993 8.925 10
-0.909 4.003 8.925 10
-0.976 4.003 8.906 10
-1.005 3.993 8.877 11
-1.015 4.003 8.858 9
-0.986 4.05 8.858 10
-0.928 4.089 8.858 10
-0.89 4.098 8.858 10
-0.938 4.137 8.839 10
-0.957 4.118 8.791 10
-0.976 4.137 8.753 10
-0.938 4.098 8.734 10
-0.919 4.089 8.743 10
-0.89 4.07 8.753 10
-0.881 4.079 8.772 10
-0.814 4.098 8.781 10
-0.794 4.118 8.791 10
-0.785 4.127 8.801 11
-0.842 4.156 8.781 9
-0.89 4.165 8.762 11
-0.928 4.165 8.801 9
-0.948 4.185 8.81 10
-0.948 4.175 8.868 10
-0.938 4.156 8.925 10
-0.919 4.137 8.992 10
-0.919 4.127 9.05 11
-0.881 4.098 9.059 9
-0.842 4.07 9.04 10
-0.804 4.098 9.002 10
-0.861 4.165 8.983 10
-0.995 4.204 8.963 10
-1.072 4.175 8.925 10
-1.158 4.156 8.81 10
-1.149 4.146 8.676 10
-1.063 4.194 8.561 10
-0.976 4.271 8.523 10
-0.967 4.338 8.513 10
-0.967 4.319 8.485 10
-0.986 4.299 8.542 10
-0.976 4.29 8.628 10
-0.976 4.261 8.734 10
-1.024 4.223 8.848 10
-0.995 4.175 8.848 10
-0.948 4.175 8.848 10
-0.852 4.223 8.829 10
-0.833 4.242 8.848 10
-0.823 4.232 8.858 11
-0.871 4.213 8.916 9
-0.928 4.204 8.935 10
-0.957 4.146 8.925 10
-0.938 4.137 8.906 10
-0.89 4.118 8.858 10
-0.861 4.156 8.82 10
-0.861 4.146 8.791 10
-0.852 4.175 8.772 11
-0.861 4.213 8.743 9
-0.881 4.223 8.714 10
-0.9 4.261 8.686 10
-0.919 4.242 8.619 12
-0.9 4.223 8.619 8
-0.871 4.213 8.599 10
-0.861 4.185 8.638 11
-0.852 4.185 8.676 9
-0.804 4.146 8.705 11
-0.794 4.175 8.762 9
-0.756 4.175 8.753 10
-0.794 4.175 8.848 10
-0.842 4.156 8.877 10
-0.909 4.108 8.896 10
-0.957 4.06 8.868 10
-0.909 4.05 8.868 10
-0.842 4.108 8.887 10
-0.814 4.127 8.848 10
-0.804 4.137 8.753 10
-0.785 4.146 8.695 10
-0.785 4.175 8.599 10
-0.766 4.213 8.532 10
-0.766 4.232 8.513 11
-0.756 4.261 8.523 9
-0.775 4.261 8.638 10
-0.842 4.204 8.705 10
-0.871 4.137 8.791 10
-0.833 4.127 8.877 10
-0.814 4.118 9.011 11
-0.823 4.108 9.069 10
-0.861 4.07 9.078 9
-0.871 4.06 9.069 10
-0.842 4.089 9.021 10
-0.823 4.137 8.925 10
-0.833 4.185 8.896 11
-0.861 4.194 8.781 10
-0.881 4.204 8.695 9
-0.833 4.213 8.628 11
-0.794 4.252 8.657 9
-0.766 4.28 8.705 10
-0.756 4.252 8.801 10
-0.785 4.213 8.858 10
-0.833 4.165 8.973 10
-0.861 4.137 9.03 10
-0.89 4.137 9.088 10
-0.909 4.127 9.097 10
-0.909 4.146 9.088 10
-0.9 4.165 9.011 10
-0.861 4.175 8.925 10
-0.814 4.175 8.858 10
-0.794 4.213 8.829 10
-0.794 4.204 8.81 10
-0.823 4.204 8.781 10
-0.871 4.194 8.82 10
