# Accelerometer Data File
# Started @Fri Dec 02 13:37:46 CST 2016
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: LSM6DS3 Accelerometer
# sensor Resolution: 5.950928E-4m/sec^2; Max Range: 78.4532; Min Delay: 5000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
-1.44 6.716 7.104 0
-0.99 6.477 6.932 4
-0.435 6.183 6.723 5
-0.313 5.864 6.343 5
-0.555 6.252 5.879 5
-0.445 7.302 5.682 5
-0.141 7.822 6.099 5
0.177 7.647 6.958 5
0.279 7.147 7.877 5
0.366 6.264 8.451 5
0.516 5.271 8.472 5
0.607 4.603 8.011 5
0.483 4.457 7.491 5
0.095 4.673 7.374 5
-0.43 4.984 7.728 5
-0.993 5.187 8.403 5
-1.342 5.23 9.107 5
-1.378 5.163 9.743 5
-1.05 5.065 10.057 5
-0.48 4.953 9.954 5
0.055 4.838 9.731 5
0.318 4.79 9.59 5
0.337 4.778 9.657 5
0.267 4.821 9.738 5
0.157 4.886 9.753 5
0.064 4.972 9.729 5
0.15 4.974 9.69 5
0.48 4.816 9.635 5
1.055 4.575 9.576 5
1.749 4.398 9.48 5
2.333 4.242 9.348 5
2.689 4.163 9.303 5
2.589 4.268 9.777 4
1.938 4.517 8.551 5
1.67 4.453 6.424 5
1.215 4.821 6.551 5
0.684 5.252 7.544 5
0.275 5.23 7.515 5
0.083 4.972 7.015 5
0.009 4.89 6.778 5
-0.038 4.754 6.757 5
-0.093 4.584 6.601 5
-0.093 4.527 6.451 5
-0.014 4.548 6.64 5
0.052 4.56 7.133 5
0.143 4.685 7.688 5
0.337 4.864 8.126 5
0.576 4.981 8.458 5
0.787 4.989 8.817 5
0.945 4.864 9.169 5
1.04 4.666 9.399 5
1.064 4.469 9.533 5
0.957 4.383 9.712 5
0.756 4.34 9.894 5
0.535 4.331 10.066 5
0.378 4.321 10.102 5
0.253 4.299 9.978 5
0.215 4.331 9.789 5
0.323 4.393 9.597 5
0.495 4.472 9.217 5
0.684 4.57 8.729 5
0.839 4.723 8.188 5
0.918 4.831 7.664 5
0.868 4.945 7.245 5
0.76 4.998 6.884 5
0.646 5.001 6.671 4
0.514 4.955 6.69 5
0.392 4.886 6.903 5
0.246 4.831 7.13 5
0.078 4.811 7.326 5
-0.09 4.835 7.525 5
-0.21 4.857 7.793 5
-0.346 4.876 8.164 5
-0.509 4.919 8.573 5
-0.736 4.979 8.949 5
-0.971 5.132 9.245 5
-1.194 5.343 9.406 5
-1.447 5.577 9.451 5
-1.698 5.793 9.375 5
-1.933 5.898 9.207 5
-2.053 5.802 9.068 5
-2.067 5.536 9.188 5
-2.033 5.297 9.248 5
-1.871 5.01 9.401 5
-1.529 4.759 9.683 5
-1.217 4.598 9.908 5
-0.973 4.486 10.207 5
-0.717 4.333 10.59 5
-0.49 4.144 10.705 5
-0.43 4.024 10.368 5
-0.411 3.926 9.906 5
-0.416 3.948 9.463 5
-0.387 4.098 9.025 5
-0.313 4.302 8.697 5
-0.112 4.371 8.444 5
0.081 4.455 8.35 5
0.334 4.426 8.365 5
0.538 4.431 8.379 4
0.655 4.436 8.291 5
0.648 4.457 8.209 5
0.519 4.522 8.161 5
0.248 4.589 8.154 5
0.05 4.639 8.262 5
-0.04 4.675 8.374 5
-0.16 4.744 8.417 5
-0.294 4.816 8.492 5
-0.332 4.852 8.583 5
-0.327 4.864 8.563 5
-0.32 4.941 8.403 5
-0.275 4.993 8.216 5
-0.232 5.027 8.121 5
-0.136 5.015 8.051 5
-0.038 4.986 8.051 5
0.102 4.91 8.135 5
0.253 4.833 8.255 5
0.296 4.744 8.379 5
0.265 4.668 8.391 5
0.267 4.627 8.358 5
0.282 4.584 8.312 5
0.258 4.56 8.243 5
0.227 4.543 8.171 5
0.177 4.527 8.075 5
0.126 4.476 8.056 5
0.112 4.398 8.075 5
0.069 4.338 8.123 5
0.064 4.311 8.142 5
0.081 4.342 8.147 4
0.134 4.398 8.171 6
0.138 4.469 8.176 5
0.062 4.551 8.154 5
0.007 4.644 8.106 4
-0.081 4.737 8.03 5
-0.129 4.771 7.994 5
-0.208 4.826 7.994 5
-0.275 4.878 7.958 5
-0.344 4.893 7.908 5
-0.349 4.938 7.812 5
-0.263 4.993 7.733 5
-0.157 5.12 7.716 5
-0.04 5.257 7.704 5
0.055 5.388 7.69 5
0.119 5.45 7.654 5
0.11 5.505 7.611 5
0.069 5.513 7.597 5
0.031 5.515 7.673 5
-0.014 5.496 7.745 5
-0.055 5.479 7.8 5
-0.102 5.443 7.81 5
-0.114 5.407 7.759 5
-0.074 5.419 7.702 5
-0.047 5.419 7.659 5
-0.05 5.431 7.652 5
-0.138 5.422 7.755 5
-0.227 5.417 7.915 5
-0.358 5.446 7.905 5
-0.512 5.469 7.8 5
-0.677 5.496 7.709 5
-0.799 5.501 7.613 5
-0.825 5.515 7.532 5
-0.815 5.541 7.456 5
-0.77 5.58 7.432 5
-0.715 5.603 7.446 5
-0.658 5.625 7.484 4
-0.569 5.647 7.575 5
-0.413 5.694 7.707 5
-0.251 5.754 7.843 5
-0.172 5.816 7.917 5
-0.114 5.84 7.958 5
-0.124 5.812 7.972 5
-0.138 5.776 8.035 5
-0.162 5.752 8.14 5
-0.165 5.73 8.19 5
-0.134 5.694 8.209 5
-0.095 5.682 8.228 5
-0.134 5.656 8.255 5
-0.186 5.642 8.329 5
-0.215 5.651 8.35 5
-0.246 5.659 8.336 5
-0.198 5.654 8.312 5
-0.165 5.644 8.288 5
-0.093 5.647 8.295 5
-0.028 5.635 8.327 5
0.028 5.615 8.358 5
0.055 5.62 8.382 5
0.098 5.606 8.353 5
0.059 5.584 8.343 5
0.011 5.58 8.25 5
-0.083 5.572 8.157 5
-0.196 5.556 8.109 5
-0.296 5.541 8.051 5
-0.38 5.587 8.013 5
-0.423 5.613 7.927 5
-0.464 5.654 7.858 5
-0.461 5.675 7.8 5
-0.437 5.706 7.783 5
-0.406 5.702 7.798 4
-0.356 5.716 7.855 5
-0.306 5.706 7.927 5
